County,State,Thousand Dry Tonnes/Yr
Houston,Georgia,425.1545086
Irwin,Georgia,0
Jackson,Georgia,0
Jasper,Georgia,335.2331468
Jeff Davis,Georgia,205.6472245
Jefferson,Georgia,143.3332984
Washington,Idaho,0
Adams,Illinois,13.96147459
Alexander,Illinois,5.687131738
Kern,California,0
Kings,California,0
Lake,California,0
Lanier,Georgia,0
Laurens,Georgia,0
Lee,Georgia,0
Liberty,Georgia,0
Lincoln,Georgia,0
Long,Georgia,0
Lowndes,Georgia,365.0942507
Lumpkin,Georgia,0
McDuffie,Georgia,0
McIntosh,Georgia,0
Macon,Georgia,0
Madison,Georgia,0
Marion,Georgia,0
Meriwether,Georgia,166.546081
Menard,Illinois,0
Marin,California,0
Mariposa,California,0
Mitchell,Georgia,0
Monroe,Georgia,0
Montgomery,Georgia,0
Morgan,Georgia,0
Murray,Georgia,0
Muscogee,Georgia,0
Newton,Georgia,0
Oconee,Georgia,0
Oglethorpe,Georgia,0
Woodford,Illinois,0
Howard,Arkansas,292.1880839
Independence,Arkansas,0
Izard,Arkansas,0
Pierce,Georgia,277.4265571
Pike,Georgia,0
Rooks,Kansas,0
San Bernardino,California,0
San Diego,California,0
San Francisco,California,0
San Joaquin,California,0
Pulaski,Georgia,0
Putnam,Georgia,0
Quitman,Georgia,0
Rabun,Georgia,0
Santa Cruz,California,0
Shasta,California,1596.72393
Sierra,California,0
Screven,Georgia,1.85476894
Seminole,Georgia,0
Spalding,Georgia,0
Stephens,Georgia,0
Stewart,Georgia,0
Sonoma,California,162.0387446
Stanislaus,California,0
Brown,Illinois,0
Bureau,Illinois,0.322049188
Calhoun,Illinois,0.724779698
Owsley,Kentucky,0
Pendleton,Kentucky,0
Perry,Kentucky,0.860675891
Pike,Kentucky,20.26047724
Powell,Kentucky,0
Pulaski,Kentucky,49.56943237
Robertson,Kentucky,0
Rockcastle,Kentucky,0
Rowan,Kentucky,42.67320763
Woodruff,Arkansas,0
Yell,Arkansas,0
Alameda,California,0
St. James,Louisiana,0
Jackson,Colorado,0
Jefferson,Colorado,0
Kiowa,Colorado,0
Kit Carson,Colorado,0
Lake,Colorado,0
Henry,Illinois,5.521487124
Ouray,Colorado,0
Park,Colorado,1.731944022
Jackson,Illinois,0
Saguache,Colorado,5.556418982
Genesee,Michigan,0.009200221
Pasco,Florida,0
Pinellas,Florida,0
Polk,Florida,0
Putnam,Florida,0
St. Johns,Florida,0
St. Lucie,Florida,0
Santa Rosa,Florida,3.282467754
McHenry,Illinois,0
McLean,Illinois,0
Macon,Illinois,5.124841519
Macoupin,Illinois,0
Madison,Illinois,3.257677403
Clay,Georgia,0
Clayton,Georgia,0
Clinch,Georgia,16.32782621
Cobb,Georgia,0
Coffee,Georgia,0
Mason,Illinois,14.35586652
Clearwater,Idaho,189.0827632
Custer,Idaho,0
Elmore,Idaho,0
Franklin,Idaho,0
Fremont,Idaho,0
Gem,Idaho,23.96776146
Gooding,Idaho,0.321035037
Idaho,Idaho,190.9983811
Jefferson,Idaho,0
Ogle,Illinois,0.025556598
Peoria,Illinois,0
Perry,Illinois,0
Monroe,Mississippi,0
Montgomery,Mississippi,0
Wayne,Georgia,0
McCreary,Kentucky,23.92268809
Pike,Illinois,7.624159568
Pope,Illinois,0
Pulaski,Illinois,0
Bates,Missouri,3.485297893
Bonneville,Idaho,0
McLean,Kentucky,7.175679593
Madison,Kentucky,0
Magoffin,Kentucky,0
Marion,Kentucky,4.750732595
Randolph,Illinois,0
Richland,Illinois,0
Rock Island,Illinois,0
St. Clair,Illinois,0
Franklin,Missouri,1.222615006
Gasconade,Missouri,3.088652287
Caribou,Idaho,0
Cassia,Idaho,0
Sangamon,Illinois,0
Schuyler,Illinois,0
Platte,Missouri,0
Teton,Idaho,20.99291941
Twin Falls,Idaho,0
Valley,Idaho,45.14097433
Shelby,Illinois,0
Owen,Kentucky,0
Christian,Illinois,0
Tazewell,Illinois,0
Caddo,Louisiana,0
Jefferson Davis,Louisiana,0
Lafayette,Louisiana,0
Lafourche,Louisiana,0
La Salle,Louisiana,0
Lincoln,Louisiana,0
Washington,Illinois,0
St. Bernard,Louisiana,0
St. Charles,Louisiana,0
St. Helena,Louisiana,0
Allen,Indiana,25.56786589
Bartholomew,Indiana,10.77478773
Anne Arundel,Maryland,11.01931073
Baltimore,Maryland,0
Calvert,Maryland,0
Caroline,Maryland,0
Carroll,Maryland,7.575705701
Berkshire,Massachusetts,3.17992585
Bristol,Massachusetts,0.718694793
Dukes,Massachusetts,0
Essex,Massachusetts,0.85966174
Franklin,Massachusetts,4.349579653
Hampden,Massachusetts,7.346958378
Norfolk,Massachusetts,0
Fulton,Illinois,8.56844655
Alger,Michigan,33.64726644
Clark,Indiana,0
Lake,Illinois,6.907493076
La Salle,Illinois,0
Crawford,Indiana,32.72326247
Daviess,Indiana,6.304636829
Dearborn,Indiana,15.12211372
Eaton,Michigan,13.96147459
Emmet,Michigan,9.374132936
Williamson,Illinois,0
Winnebago,Illinois,0
Dubois,Indiana,52.98373971
Floyd,Indiana,0
Fountain,Indiana,0
Valley,Montana,0
Wheatland,Montana,0
Wibaux,Montana,0
Yellowstone,Montana,0
Adams,Nebraska,3.972090227
Fulton,Indiana,17.92793064
Gibson,Indiana,0
Plymouth,Iowa,0
Crawford,Kansas,6.356471198
Hamilton,Indiana,0
Hancock,Indiana,0
Harrison,Indiana,0
Hendricks,Indiana,0
Barren,Kentucky,30.68369273
Bath,Kentucky,0
Nicholas,Kentucky,0
Beauregard,Louisiana,365.0942507
Bienville,Louisiana,0
Bossier,Louisiana,0
Jackson,Indiana,17.08280506
Cheboygan,Michigan,3.025549577
Marquette,Michigan,208.1262596
Mason,Michigan,0
Jefferson,Indiana,11.78668476
Jennings,Indiana,0
Johnson,Indiana,24.95937547
Knox,Indiana,7.536266508
Montcalm,Michigan,3.229506551
Becker,Minnesota,1.792793064
Beltrami,Minnesota,82.30396318
Lake,Indiana,0
LaPorte,Indiana,0
Lake of the Woods,Minnesota,5.153012371
Le Sueur,Minnesota,0
Madison,Indiana,0
Marion,Indiana,0
Kearney,Nebraska,0
Hunterdon,New Jersey,0
Mercer,New Jersey,0
Middlesex,New Jersey,0
Monmouth,New Jersey,0
Morris,New Jersey,0
Ocean,New Jersey,0
Passaic,New Jersey,0
Salem,New Jersey,0
Rockland,New York,0
St. Lawrence,New York,9.363991429
Saratoga,New York,3.488678395
Schenectady,New York,0
Schoharie,New York,0.797347814
Schuyler,New York,0
Seneca,New York,0
Monroe,Indiana,19.78720692
Alexander,North Carolina,11.5500496
Alleghany,North Carolina,0
Anson,North Carolina,12.84590882
Ashe,North Carolina,10.68238733
Morgan,Indiana,0
Avery,North Carolina,0
Bladen,North Carolina,0
Ohio,Indiana,0
Haywood,North Carolina,140.6288966
Henderson,North Carolina,0
Owen,Indiana,18.46881101
Parke,Indiana,31.64150172
Perry,Indiana,0
Pike,Indiana,0
Porter,Indiana,4.998636099
Posey,Indiana,5.857283688
Martin,North Carolina,451.2970599
Mecklenburg,North Carolina,0
Mitchell,North Carolina,8.100810395
Montgomery,North Carolina,519.921257
Moore,North Carolina,0
Putnam,Indiana,25.83830607
Orange,North Carolina,0
Rush,Indiana,0
St. Joseph,Indiana,0
Scott,Indiana,0
Union,North Carolina,0
Spencer,Indiana,0
Starke,Indiana,0
Baker,Oregon,0
Sullivan,Indiana,0
Switzerland,Indiana,0
Tippecanoe,Indiana,0
Benton,Oregon,213.0843296
Clackamas,Oregon,351.2341912
Clatsop,Oregon,0
Union,Oregon,205.9852748
Wallowa,Oregon,0
Wasco,Oregon,56.72482895
Washington,Oregon,224.3526707
Vanderburgh,Indiana,0
Vermillion,Indiana,0
Vigo,Indiana,0
Florence,South Carolina,322.7252882
Georgetown,South Carolina,311.3442638
Greenville,South Carolina,0
Greenwood,South Carolina,0
Warren,Indiana,0
Warrick,Indiana,0
Washington,Indiana,55.85716668
Kershaw,South Carolina,0
Wells,Indiana,0
White,Indiana,5.683751236
Saluda,South Carolina,0
Spartanburg,South Carolina,0
Sumter,South Carolina,0
Crockett,Tennessee,0
Cumberland,Tennessee,0
Davidson,Tennessee,0
Greene,Tennessee,11.13199414
Grundy,Tennessee,57.99815149
Hamblen,Tennessee,0
Smith,Mississippi,410.0549315
Kane,Utah,0
Millard,Utah,0
Morgan,Utah,0
Piute,Utah,0
Benton,Iowa,19.97876872
Buchanan,Virginia,0
Buckingham,Virginia,33.32048454
Campbell,Virginia,92.41166512
Caroline,Virginia,45.32126778
Carroll,Virginia,0
Gloucester,Virginia,23.07756251
Goochland,Virginia,0
Grayson,Virginia,69.04112574
Greene,Virginia,0
Barton,Missouri,12.77829877
Buchanan,Iowa,27.94548585
Highland,Virginia,0
Isle of Wight,Virginia,113.3595112
Mecklenburg,Virginia,0
Middlesex,Virginia,0
Montgomery,Virginia,62.69704971
Nelson,Virginia,0
Russell,Virginia,0
Scott,Virginia,0
Shenandoah,Virginia,1.677855985
Smyth,Virginia,0
Southampton,Virginia,34.72902718
Carroll,Iowa,0
Dunklin,Missouri,0
Johnson,Missouri,0
Phelps,Missouri,11.10156962
Pike,Missouri,14.91928358
Carter,Montana,0
Cascade,Montana,0
Glacier,Montana,0
Golden Valley,Montana,0
Petroleum,Montana,0
Phillips,Montana,0
Pondera,Montana,0
Douglas,Nebraska,0
Clayton,Iowa,0
Clinton,Iowa,0
Crawford,Iowa,0
Dallas,Iowa,0
Saunders,Nebraska,9.378640273
Clark,Nevada,0
Mineral,Nevada,0
Nye,Nevada,0
Des Moines,Iowa,0
Fulton,New York,4.319155132
Genesee,New York,0.506061197
Dubuque,Iowa,0
Duplin,North Carolina,0
Durham,North Carolina,0
Edgecombe,North Carolina,0
Fayette,Iowa,0
Carroll,Ohio,0
Pike,Ohio,42.5830609
Fremont,Iowa,0
Roger Mills,Oklahoma,0
Jackson,Oregon,190.0969139
Jefferson,Oregon,0
Josephine,Oregon,255.4532921
Perry,Pennsylvania,18.85193461
Philadelphia,Pennsylvania,0
Venango,Pennsylvania,24.89176542
Westmoreland,Pennsylvania,24.00156648
Harrison,Iowa,0
Chouteau,Montana,0
Custer,Montana,0
Anderson,South Carolina,0
Bamberg,South Carolina,14.9530886
Barnwell,South Carolina,0
Howard,Iowa,0
Granite,Montana,2.961320033
Hill,Montana,0
Jefferson,Montana,64.92818125
Judith Basin,Montana,0
Lake,Montana,25.16220561
Lewis and Clark,Montana,0.599025011
Clay,South Dakota,0
Iowa,Iowa,0
Jackson,Iowa,0
Antelope,Nebraska,0.114486345
Mellette,South Dakota,0
Bledsoe,Tennessee,0
Blount,Tennessee,4.662839535
Bradley,Tennessee,0
Campbell,Tennessee,0
Johnson,Iowa,0
McMinn,Tennessee,122.7122343
McNairy,Tennessee,35.84459294
Scott,Tennessee,33.16272777
Sequatchie,Tennessee,0
Sevier,Tennessee,0
Shelby,Tennessee,0
Smith,Tennessee,24.72274031
Kossuth,Iowa,0
Lee,Iowa,0
Linn,Iowa,0
Williamson,Tennessee,0
Wilson,Tennessee,0
Jasper,Texas,245.4244685
Lyon,Iowa,0
Grand Isle,Vermont,0
Lamoille,Vermont,5.406550045
Mahaska,Iowa,0
Burnett,Wisconsin,27.39333714
Calumet,Wisconsin,0
Dodge,Wisconsin,5.840381177
Klickitat,Washington,143.6713486
Lewis,Washington,960.1753426
Lincoln,Washington,0
Mason,Washington,354.3893267
Okanogan,Washington,0
Pacific,Washington,186.0403111
Dorado,Puerto Rico,0
Fajardo,Puerto Rico,0
Monona,Iowa,0
Monroe,Iowa,0
Mineral,West Virginia,0
Mingo,West Virginia,0
Monongalia,West Virginia,16.35036289
Muscatine,Iowa,0
Monroe,West Virginia,0
Morgan,West Virginia,0
Nicholas,West Virginia,204.8584407
Tucker,West Virginia,0
Tyler,West Virginia,0
Upshur,West Virginia,94.22586803
Bayfield,Wisconsin,1.47051851
Toa Alta,Puerto Rico,0
Toa Baja,Puerto Rico,0
Trujillo Alto,Puerto Rico,0
Utuado,Puerto Rico,0
Polk,Iowa,0
Pottawattamie,Iowa,0
Yauco,Puerto Rico,0
Natrona,Wyoming,0
Niobrara,Wyoming,0
Park,Wyoming,0.189082763
Sac,Iowa,0
Scott,Iowa,0
Platte,Wyoming,0
Sioux,Iowa,0
Naranjito,Puerto Rico,0
Orocovis,Puerto Rico,0
Patillas,Puerto Rico,0
Penuelas,Puerto Rico,0
Ponce,Puerto Rico,0
Quebradillas,Puerto Rico,0
Tama,Iowa,0
Wapello,Iowa,0
Warren,Iowa,0
Washington,Iowa,0
Woodbury,Iowa,0
Atchison,Kansas,1.051899639
Barton,Kansas,0
Bourbon,Kansas,0
Clay,Kansas,0
Cloud,Kansas,0
Coffey,Kansas,0
Ellis,Kansas,0
Ellsworth,Kansas,0
Finney,Kansas,0
Franklin,Kansas,0
Geary,Kansas,0
Graham,Kansas,0
Greenwood,Kansas,0.399688058
Hamilton,Kansas,0
Harvey,Kansas,0.037827821
Jackson,Kansas,0.132853741
Jefferson,Kansas,0
Jewell,Kansas,0.318894052
Johnson,Kansas,0
Labette,Kansas,0
Leavenworth,Kansas,0
Lyon,Kansas,0
Marion,Kansas,0
Marshall,Kansas,0
Miami,Kansas,0
Mitchell,Kansas,0
Montgomery,Kansas,0
Nemaha,Kansas,0
Neosho,Kansas,0
Ness,Kansas,0
Osage,Kansas,0
Reno,Kansas,0
Republic,Kansas,0
Russell,Kansas,0
Saline,Kansas,0
Sedgwick,Kansas,0
Shawnee,Kansas,0
Stanton,Kansas,0
Sumner,Kansas,0
Trego,Kansas,0
Wabaunsee,Kansas,0
Wallace,Kansas,0
Washington,Kansas,0
Wilson,Kansas,0
Wyandotte,Kansas,0
Campbell,Kentucky,0
Carlisle,Kentucky,11.83175812
Carroll,Kentucky,0
Carter,Kentucky,0
Casey,Kentucky,29.81603047
Christian,Kentucky,0
Clark,Kentucky,0
Clay,Kentucky,0
Elliott,Kentucky,0
Estill,Kentucky,5.485428433
Fayette,Kentucky,0
Fleming,Kentucky,15.75314082
Floyd,Kentucky,0
Lyon,Kentucky,0
Martin,Kentucky,0
Meade,Kentucky,0
Menifee,Kentucky,0
Mercer,Kentucky,0
Scott,Kentucky,0
Shelby,Kentucky,0
Spencer,Kentucky,2.82046577
Taylor,Kentucky,10.25306354
Gogebic,Michigan,53.3105216
Grand Traverse,Michigan,0
Houghton,Michigan,30.76257112
Huron,Michigan,1.613626441
Ingham,Michigan,0
Iosco,Michigan,10.6316798
Iron,Michigan,9.334693742
Isabella,Michigan,0
Jackson,Michigan,0.401716359
Kalkaska,Michigan,169.9265833
Kent,Michigan,4.643683355
Keweenaw,Michigan,0
Muskegon,Michigan,7.168918589
Newaygo,Michigan,0
Oakland,Michigan,0.232015143
Oceana,Michigan,20.76755259
Ogemaw,Michigan,0
Ontonagon,Michigan,0
Otsego,Michigan,0
Ottawa,Michigan,0
Presque Isle,Michigan,8.560558711
Roscommon,Michigan,0
Saginaw,Michigan,25.71435432
St. Clair,Michigan,0
Sanilac,Michigan,0
Carver,Minnesota,1.966325517
Cass,Minnesota,30.04139729
Chippewa,Minnesota,0
Chisago,Minnesota,1.207966163
Crow Wing,Minnesota,3.727567226
Dakota,Minnesota,0.107330949
Fillmore,Minnesota,12.21488172
Goodhue,Minnesota,3.458253874
Hennepin,Minnesota,0
Marshall,Minnesota,0.078709362
Meeker,Minnesota,0
Mille Lacs,Minnesota,7.175679593
Morrison,Minnesota,0.819884496
Nicollet,Minnesota,0
Norman,Minnesota,2.146618974
Olmsted,Minnesota,1.265434702
Pine,Minnesota,0.494792856
Polk,Minnesota,0
Ramsey,Minnesota,0.030672424
Redwood,Minnesota,0.015336212
Renville,Minnesota,0
Rice,Minnesota,0
Roseau,Minnesota,0.331176544
St. Louis,Minnesota,40.55475951
Scott,Minnesota,2.666089497
Sherburne,Minnesota,0
Sibley,Minnesota,0
Stearns,Minnesota,2.003511042
Keith,Nebraska,0
Keya Paha,Nebraska,0.268862618
Washington,Minnesota,0
Scotts Bluff,Nebraska,0
Seward,Nebraska,0
Sheridan,Nebraska,0
Amite,Mississippi,0
Attala,Mississippi,0
Somerset,New Jersey,0
Sussex,New Jersey,0
Union,New Jersey,0
Bolivar,Mississippi,0
McKinley,New Mexico,0
Mora,New Mexico,14.17557307
Brunswick,North Carolina,0
Buncombe,North Carolina,14.72772178
Burke,North Carolina,0
Cabarrus,North Carolina,0
Caldwell,North Carolina,0
Camden,North Carolina,0
Carteret,North Carolina,0
Jefferson,Mississippi,0
Jefferson Davis,Mississippi,0
Pamlico,North Carolina,0
Pasquotank,North Carolina,0
Lafayette,Mississippi,0
Holmes,Ohio,64.18447073
Huron,Ohio,0
Portage,Ohio,38.3010913
Haskell,Oklahoma,0
Hughes,Oklahoma,0
Jackson,Oklahoma,0
Jefferson,Oklahoma,0
Lee,Mississippi,0
Leflore,Mississippi,0
Kingfisher,Oklahoma,0
Kiowa,Oklahoma,0
Wheeler,Oregon,0.067463558
Yamhill,Oregon,355.1781105
Adams,Pennsylvania,8.727330159
Allegheny,Pennsylvania,51.15826846
Armstrong,Pennsylvania,16.51938801
Beaver,Pennsylvania,0
Bedford,Pennsylvania,52.01466238
Berks,Pennsylvania,5.094416998
Blair,Pennsylvania,0
Bradford,Pennsylvania,20.04637876
Bucks,Pennsylvania,6.82072685
Pike,Pennsylvania,0
Union,South Carolina,0
Williamsburg,South Carolina,0
York,South Carolina,294.667119
Custer,South Dakota,1.754480705
Sunflower,Mississippi,0
Tallahatchie,Mississippi,0
Tate,Mississippi,0
Hamilton,Tennessee,0
Hancock,Tennessee,0
Hardeman,Tennessee,50.45963131
Hardin,Tennessee,156.6299409
Hawkins,Tennessee,0
Haywood,Tennessee,0
Henderson,Tennessee,0
Henry,Tennessee,37.76021093
Hickman,Tennessee,15.66299409
Tishomingo,Mississippi,0
Tunica,Mississippi,0
Anderson,Texas,0
Jeff Davis,Texas,0
Jefferson,Texas,0
Warren,Mississippi,184.913477
Washington,Mississippi,0
Val Verde,Texas,0
Van Zandt,Texas,0
Victoria,Texas,0
Walker,Texas,0
Waller,Texas,0
Rich,Utah,0
Salt Lake,Utah,0
San Juan,Utah,0
Sanpete,Utah,0
Sevier,Utah,0
Summit,Utah,12.73322541
Tooele,Utah,0
Uintah,Utah,1.822090751
Utah,Utah,2.921880839
Wasatch,Utah,0
Washington,Utah,0
Wayne,Utah,0
Weber,Utah,0.611307503
Chariton,Missouri,0
Christian,Missouri,8.294625862
Clark,Missouri,8.409562941
Clay,Missouri,0
Clinton,Missouri,0
Cole,Missouri,0
Greene,Missouri,0
Bristol,Virginia,0
Henry,Missouri,0
Holt,Missouri,0
Howell,Missouri,69.0861991
Laclede,Missouri,1.381498615
Lafayette,Missouri,0
Lawrence,Missouri,16.72221815
Lincoln,Missouri,10.69252884
Linn,Missouri,0
Livingston,Missouri,0
Maries,Missouri,0
Marion,Missouri,0
Miller,Missouri,12.87971384
Mississippi,Missouri,0
Montgomery,Missouri,16.32782621
Morgan,Missouri,0
New Madrid,Missouri,0
Putnam,Missouri,0
Ralls,Missouri,0
Ray,Missouri,0
St. Charles,Missouri,0.967049031
St. Clair,Missouri,0
Ste. Genevieve,Missouri,9.661475633
Taney,Missouri,3.949553545
Texas,Missouri,54.12184216
Vernon,Missouri,0
Warren,Missouri,0
Washington,Missouri,26.32284474
Webster,Missouri,0
Boone,Nebraska,8.332938221
Box Butte,Nebraska,0
Boyd,Nebraska,0
Brown,Nebraska,0.111421357
Buffalo,Nebraska,0
Burt,Nebraska,0
Butler,Nebraska,5.194705233
Cass,Nebraska,0
Cedar,Nebraska,0
Chase,Nebraska,0
Cherry,Nebraska,0
Cheyenne,Nebraska,0
Clay,Nebraska,0
Colfax,Nebraska,0
Cuming,Nebraska,0.199336954
Dawes,Nebraska,0.071553966
Dawson,Nebraska,0
Fillmore,Nebraska,0
Franklin,Nebraska,0
Frontier,Nebraska,0
Furnas,Nebraska,0
Gage,Nebraska,0.032711994
Garden,Nebraska,0
Gosper,Nebraska,0
Hamilton,Nebraska,0
Harlan,Nebraska,0
Holt,Nebraska,0
Knox,Nebraska,0
Lancaster,Nebraska,0
Lincoln,Nebraska,0
Madison,Nebraska,2.973715208
Merrick,Nebraska,0
Morrill,Nebraska,0
Nance,Nebraska,0
Nemaha,Nebraska,0
Nuckolls,Nebraska,0
Otoe,Nebraska,0
Pawnee,Nebraska,0
Perkins,Nebraska,0
Phelps,Nebraska,0
Pierce,Nebraska,0
Platte,Nebraska,0
Polk,Nebraska,0.177927105
Sioux,Nebraska,0
Stanton,Nebraska,0
Thayer,Nebraska,0
Thurston,Nebraska,0
Hampton,Virginia,0
Washington,Nebraska,0
Wayne,Nebraska,0
Webster,Nebraska,0
Pitt,North Carolina,0
Polk,North Carolina,0
Randolph,North Carolina,49.00601531
Richmond,North Carolina,0
Robeson,North Carolina,0
Rowan,North Carolina,110.8128661
Rutherford,North Carolina,158.5455589
Sampson,North Carolina,0
Scotland,North Carolina,0
Burleigh,North Dakota,0
Cass,North Dakota,0
Dunn,North Dakota,0
Emmons,North Dakota,0
Grand Forks,North Dakota,0
Grant,North Dakota,0
Kidder,North Dakota,0
LaMoure,North Dakota,0
McKenzie,North Dakota,0
McLean,North Dakota,0
Oliver,North Dakota,0
Pembina,North Dakota,0
Ramsey,North Dakota,0
Richland,North Dakota,0
Sioux,North Dakota,0
Stark,North Dakota,0
Stutsman,North Dakota,0
Traill,North Dakota,0
Walsh,North Dakota,0
Ward,North Dakota,0
Williams,North Dakota,0
Adams,Ohio,8.654085942
Allen,Ohio,22.87473237
Ashland,Ohio,15.57284736
Ashtabula,Ohio,6.51084747
Columbiana,Ohio,27.35953212
Coshocton,Ohio,15.03196699
Crawford,Ohio,8.895228441
Cuyahoga,Ohio,0
Defiance,Ohio,7.74811132
Franklin,Ohio,0
Gallia,Ohio,46.06497829
Geauga,Ohio,13.71357108
Greene,Ohio,0
Guernsey,Ohio,0
Hamilton,Ohio,0
Hancock,Ohio,0
Hardin,Ohio,0
Harrison,Ohio,0
Highland,Ohio,0
Jefferson,Ohio,0
Knox,Ohio,6.36548587
Lake,Ohio,0
Lawrence,Ohio,0
Licking,Ohio,0
Lorain,Ohio,0
Lucas,Ohio,0
Madison,Ohio,0
Mahoning,Ohio,12.07966163
Medina,Ohio,0
Meigs,Ohio,0
Monroe,Ohio,0
Montgomery,Ohio,0
Morgan,Ohio,4.693264056
Muskingum,Ohio,0
Noble,Ohio,0
Ottawa,Ohio,5.044836297
Putnam,Ohio,0
Richland,Ohio,0
Ross,Ohio,0
Sandusky,Ohio,0
Scioto,Ohio,22.30004698
Stark,Ohio,0
Summit,Ohio,0
Trumbull,Ohio,29.68081038
Tuscarawas,Ohio,24.58752021
Warren,Ohio,0
Washington,Ohio,56.12760687
Wayne,Ohio,0
Wood,Ohio,0
Wyandot,Ohio,0
Atoka,Oklahoma,0
Beaver,Oklahoma,0
Blaine,Oklahoma,0
Bryan,Oklahoma,0
Caddo,Oklahoma,0
Cleveland,Oklahoma,0
Comanche,Oklahoma,0
Cotton,Oklahoma,0
Creek,Oklahoma,0
Ellis,Oklahoma,0
Garfield,Oklahoma,0.171729518
Garvin,Oklahoma,0
Grady,Oklahoma,0
Greer,Oklahoma,0
Le Flore,Oklahoma,0
Lincoln,Oklahoma,0
Marshall,Oklahoma,0
Murray,Oklahoma,0
Muskogee,Oklahoma,0
Noble,Oklahoma,0
Okfuskee,Oklahoma,0
Oklahoma,Oklahoma,0
Okmulgee,Oklahoma,0
Osage,Oklahoma,0
Carbon,Pennsylvania,0.132853741
Centre,Pennsylvania,14.41220823
Chester,Pennsylvania,0
Clarion,Pennsylvania,41.60271523
Clearfield,Pennsylvania,51.33856191
Clinton,Pennsylvania,9.670490306
Columbia,Pennsylvania,9.972481847
Crawford,Pennsylvania,38.53772646
Cumberland,Pennsylvania,1.543762727
Dauphin,Pennsylvania,19.00969139
Delaware,Pennsylvania,0
Elk,Pennsylvania,0
Erie,Pennsylvania,10.29362957
Lehigh,Pennsylvania,0.502906062
Luzerne,Pennsylvania,2.268317057
Lycoming,Pennsylvania,56.04872848
Schuylkill,Pennsylvania,14.59250169
Snyder,Pennsylvania,21.82677665
Somerset,Pennsylvania,29.07231996
Beadle,South Dakota,0
Bennett,South Dakota,0
Bon Homme,South Dakota,0
Brookings,South Dakota,0.341430734
Brown,South Dakota,0
Brule,South Dakota,0
Butte,South Dakota,141.8684141
Charles Mix,South Dakota,0
Day,South Dakota,0
Deuel,South Dakota,0
Dewey,South Dakota,0
Edmunds,South Dakota,0
Fall River,South Dakota,0
Grant,South Dakota,0
Gregory,South Dakota,0.3158516
Hand,South Dakota,0
Hanson,South Dakota,0
Harding,South Dakota,0
Hughes,South Dakota,0
Jackson,South Dakota,0
Jones,South Dakota,0
Kingsbury,South Dakota,0
Lawrence,South Dakota,0
Lincoln,South Dakota,0
Lyman,South Dakota,0
McCook,South Dakota,0
McPherson,South Dakota,0
Minnehaha,South Dakota,0
Pennington,South Dakota,86.05632075
Perkins,South Dakota,0
Potter,South Dakota,0
Humphreys,Tennessee,38.32362798
Jackson,Tennessee,0
Jefferson,Tennessee,0
Johnson,Tennessee,0
Knox,Tennessee,0
Sullivan,Tennessee,44.83672912
Sumner,Tennessee,0
Tipton,Tennessee,0
Angelina,Texas,134.7693592
Aransas,Texas,0
Atascosa,Texas,0
Austin,Texas,0
Bandera,Texas,0
Bastrop,Texas,0
Bee,Texas,0
Bell,Texas,0
Bexar,Texas,0
Bosque,Texas,0
Bowie,Texas,72.66953156
Brazoria,Texas,0
Brazos,Texas,0
Brewster,Texas,0
Brown,Texas,0
